TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2023,3,27,21,40,13XX PARKER ST,Grandview-Woodland,494435.5413,5458128.1439
Break and Enter Commercial,2023,3,3,4,38,13XX RICHARDS ST,Central Business District,490833.7723,5457995.6889
Break and Enter Commercial,2023,2,19,1,0,13XX ROBSON ST,West End,490621.3365,5459406.7728
Break and Enter Commercial,2023,3,15,14,40,13XX ROBSON ST,West End,490623.3017,5459404.8127
Break and Enter Commercial,2023,1,9,2,25,13XX ROBSON ST,West End,490652.78,5459375.4113
Break and Enter Commercial,2023,5,21,3,28,13XX SW MARINE DR,Marpole,490016.87,5450110.6823
Break and Enter Commercial,2023,2,5,3,44,13XX VENABLES ST,Grandview-Woodland,494459.7386,5458228.5863
Break and Enter Commercial,2023,5,1,11,17,13XX W 15TH AVE,Fairview,490177.3236,5456141.3095
Break and Enter Commercial,2023,1,20,0,0,13XX W 33RD AVE,Shaughnessy,490166.0659,5454330.9543
Break and Enter Commercial,2023,4,22,17,0,13XX W 4TH AVE,Fairview,490119.0966,5457137.316
Break and Enter Commercial,2023,3,15,18,30,13XX W 6TH AVE,Fairview,490110.9369,5457056.5349
Break and Enter Commercial,2023,5,24,11,28,13XX W BROADWAY AVE,Fairview,490113.8229,5456768.2317
Break and Enter Commercial,2023,3,1,5,26,13XX W BROADWAY AVE,Fairview,490211.9406,5456765.4993
Break and Enter Commercial,2023,3,1,5,42,13XX W BROADWAY AVE,Fairview,490262.4679,5456754.9443
Break and Enter Commercial,2023,2,13,2,0,14XX BARCLAY ST,West End,490341.2446,5459365.0758
Break and Enter Commercial,2023,1,29,16,0,14XX CLARK DR,Grandview-Woodland,494378.7928,5457654.854
Break and Enter Commercial,2023,5,25,6,6,14XX CONTINENTAL ST,Central Business District,490497.6428,5457989.0387
Break and Enter Commercial,2023,3,23,22,0,14XX E 11TH AVE,Kensington-Cedar Cottage,494501.7089,5456413.4801
Break and Enter Commercial,2023,5,11,16,0,14XX E 12TH AVE,Kensington-Cedar Cottage,494532.9599,5456325.3156
Break and Enter Commercial,2023,1,17,0,0,14XX E GEORGIA ST,Grandview-Woodland,494593.5122,5458418.136
Break and Enter Commercial,2023,1,5,3,18,14XX E PENDER ST,Grandview-Woodland,494503.8539,5458628.0138
Break and Enter Commercial,2023,5,22,17,22,14XX HORNBY ST,Central Business District,490391.3158,5458130.8131
Break and Enter Commercial,2023,3,14,0,59,14XX KINGSWAY AVE,Kensington-Cedar Cottage,494568.1852,5455200.4638
Break and Enter Commercial,2023,2,11,0,15,14XX LAMEYS MILL RD,Fairview,490007.6948,5457360.3881
Break and Enter Commercial,2023,5,14,0,30,14XX LAMEYS MILL RD,Fairview,490093.8163,5457245.4082
Break and Enter Commercial,2023,3,16,20,42,14XX NELSON ST,West End,490291.7731,5459268.1785
Break and Enter Commercial,2023,5,14,0,0,14XX POWELL ST,Grandview-Woodland,494604.3015,5458940.0693
Break and Enter Commercial,2023,3,14,23,30,14XX THORNTON ST,Strathcona,493222.3566,5457728.7016
Break and Enter Commercial,2023,5,15,21,30,14XX THORNTON ST,Strathcona,493222.3566,5457728.7016
Break and Enter Commercial,2023,5,24,3,28,14XX W 11TH AVE,Fairview,489951.0306,5456552.9533
Break and Enter Commercial,2023,5,24,3,45,14XX W 11TH AVE,Fairview,489951.0306,5456552.9533
Break and Enter Commercial,2023,4,24,9,34,14XX W 7TH AVE,Fairview,490011.6946,5456955.6097
Break and Enter Commercial,2023,4,9,11,2,14XX W 8TH AVE,Fairview,489987.3332,5456872.0863
Break and Enter Commercial,2023,5,15,3,22,14XX W 8TH AVE,Fairview,490046.5836,5456861.393
Break and Enter Commercial,2023,4,9,2,0,14XX WILLIAM ST,Grandview-Woodland,494540.2306,5457923.7314
Break and Enter Commercial,2023,5,19,17,0,15XX AVERY AVE,Marpole,489677.0558,5450585.2609
Break and Enter Commercial,2023,1,10,10,0,15XX BEACH AVE,West End,489711.5714,5458917.3673
Break and Enter Commercial,2023,4,24,5,24,15XX E 1ST AVE,Grandview-Woodland,494756.9833,5457434.5233
Break and Enter Commercial,2023,6,1,4,24,15XX E BROADWAY AVE,Grandview-Woodland,494708.6916,5456627.9506
Break and Enter Commercial,2023,6,7,23,42,15XX E KENT AVE N,Victoria-Fraserview,494548.6712,5450756.6008
Break and Enter Commercial,2023,5,23,17,0,15XX E PENDER ST,Grandview-Woodland,494612.4144,5458626.1124
Break and Enter Commercial,2023,3,19,17,15,15XX JOHNSTON ST,Fairview,490195.5119,5457680.1938
Break and Enter Commercial,2023,1,5,7,55,15XX ROBSON ST,West End,490452.9462,5459572.6536
Break and Enter Commercial,2023,1,29,8,0,15XX ROBSON ST,West End,490452.9462,5459572.6536
Break and Enter Commercial,2023,2,1,12,30,15XX ROBSON ST,West End,490452.9462,5459572.6536
Break and Enter Commercial,2023,2,26,2,1,15XX VERNON DR,Strathcona,494267.8972,5457563.4443
Break and Enter Commercial,2023,5,9,17,30,15XX W 10TH AVE,Fairview,489783.4137,5456670.0437
Break and Enter Commercial,2023,2,2,23,30,15XX W 2ND AVE,Fairview,489881.3203,5457449.0279
Break and Enter Commercial,2023,2,27,20,0,15XX W 2ND AVE,Fairview,489942.4468,5457434.8332
Break and Enter Commercial,2023,2,27,23,45,15XX W 6TH AVE,Fairview,489813.2413,5457063.5684
Break and Enter Commercial,2023,3,23,21,0,15XX W 7TH AVE,Fairview,489803.8257,5456961.0997
Break and Enter Commercial,2023,4,22,5,0,15XX W GEORGIA ST,Central Business District,490530.1903,5459746.0541
Break and Enter Commercial,2023,5,19,16,0,16XX ADANAC ST,Grandview-Woodland,494840.3161,5458311.3941
Break and Enter Commercial,2023,6,4,23,57,16XX BEACH AVE,West End,489681.3949,5458937.0073
Break and Enter Commercial,2023,5,15,4,1,16XX CYPRESS ST,Kitsilano,489248.3368,5457597.7825
Break and Enter Commercial,2023,3,21,15,54,16XX DAVIE ST,West End,489845.372,5459249.0066
Break and Enter Commercial,2023,2,2,9,23,16XX E 3RD AVE,Grandview-Woodland,494851.6711,5457233.6809
Break and Enter Commercial,2023,4,22,4,59,16XX E BROADWAY AVE,Grandview-Woodland,494894.9357,5456625.3732
Break and Enter Commercial,2023,1,22,5,25,16XX HORNBY ST,Central Business District,490313.0008,5458038.5502
Break and Enter Commercial,2023,2,15,5,45,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494839.5496,5455015.443
Break and Enter Commercial,2023,5,3,0,21,16XX MAIN ST,Strathcona,492705.2081,5457610.37
Break and Enter Commercial,2023,3,1,4,55,16XX NANAIMO ST,Grandview-Woodland,495877.729,5457435.7389
Break and Enter Commercial,2023,5,16,5,0,16XX ONTARIO ST,Mount Pleasant,492385.7028,5457560.3322
Break and Enter Commercial,2023,5,28,18,24,16XX ONTARIO ST,Mount Pleasant,492385.7028,5457560.3322
Break and Enter Commercial,2023,4,29,14,0,16XX PANDORA ST,Grandview-Woodland,494743.5547,5458925.1517
Break and Enter Commercial,2023,3,31,3,34,16XX QUEBEC ST,Mount Pleasant,492543.2664,5457594.3932
Break and Enter Commercial,2023,2,16,3,0,16XX SALT ST,Mount Pleasant,492288.3814,5457616.3293
Break and Enter Commercial,2023,3,17,0,0,16XX W 10TH AVE,Fairview,489605.7319,5456665.4519
Break and Enter Commercial,2023,3,18,20,0,16XX W 13TH AVE,Fairview,489584.2608,5456352.0818
Break and Enter Commercial,2023,2,12,17,0,16XX W 2ND AVE,Fairview,489603.2126,5457447.6856
Break and Enter Commercial,2023,3,6,1,0,16XX W 2ND AVE,Fairview,489659.6498,5457446.3736
Break and Enter Commercial,2023,3,13,4,0,16XX W 3RD AVE,Fairview,489627.5823,5457357.9886
Break and Enter Commercial,2023,2,1,20,54,16XX W 3RD AVE,Fairview,489637.6312,5457357.6895
Break and Enter Commercial,2023,2,26,3,29,16XX W BROADWAY AVE,Fairview,489666.849,5456768.5728
Break and Enter Commercial,2023,2,18,21,49,16XX WHYTE AVE,Kitsilano,489688.2058,5458137.9115
Break and Enter Commercial,2023,1,16,4,0,16XX WILLIAM ST,Grandview-Woodland,494816.207,5457917.0917
Break and Enter Commercial,2023,1,2,22,30,17XX DAVIE ST,West End,489737.9887,5459343.0801
Break and Enter Commercial,2023,4,11,2,50,17XX E GEORGIA ST,Grandview-Woodland,494920.5183,5458420.2884
Break and Enter Commercial,2023,5,3,4,35,17XX E GEORGIA ST,Grandview-Woodland,494920.5183,5458420.2884
Break and Enter Commercial,2023,5,13,22,3,17XX E GEORGIA ST,Grandview-Woodland,494920.5183,5458420.2884
Break and Enter Commercial,2023,1,5,4,29,17XX E PENDER ST,Grandview-Woodland,494917.7907,5458620.7034
Break and Enter Commercial,2023,2,27,0,0,17XX FRANCES ST,Grandview-Woodland,494936.6472,5458510.3213
Break and Enter Commercial,2023,4,5,17,0,17XX KINGSWAY AVE,Kensington-Cedar Cottage,495048.0371,5454853.9171
Break and Enter Commercial,2023,1,13,3,54,17XX PENDRELL ST,West End,489849.2774,5459398.8982
Break and Enter Commercial,2023,1,2,1,9,17XX POWELL ST,Grandview-Woodland,494934.1204,5459032.6415
Break and Enter Commercial,2023,1,17,20,0,17XX ROBSON ST,West End,490204.6952,5459819.9257
Break and Enter Commercial,2023,1,21,7,31,17XX ROBSON ST,West End,490222.2453,5459802.8662
Break and Enter Commercial,2023,2,7,20,30,17XX ROBSON ST,West End,490235.8818,5459776.8589
Break and Enter Commercial,2023,1,23,3,0,17XX TRAFALGAR ST,Kitsilano,488031.4796,5457578.1212
Break and Enter Commercial,2023,3,16,4,16,17XX W 11TH AVE,Fairview,489471.6207,5456573.8983
Break and Enter Commercial,2023,4,4,0,0,17XX W 11TH AVE,Fairview,489534.3988,5456571.2421
Break and Enter Commercial,2023,5,23,3,49,17XX W 4TH AVE,Fairview,489483.5312,5457252.8483
Break and Enter Commercial,2023,1,17,9,55,17XX W 4TH AVE,Fairview,489493.806,5457262.8257
Break and Enter Commercial,2023,3,12,14,30,17XX W 7TH AVE,Fairview,489560.1369,5456976.4143
Break and Enter Commercial,2023,1,31,4,11,18XX ALBERNI ST,West End,490130.9468,5460046.9268
Break and Enter Commercial,2023,4,2,5,58,18XX COMMERCIAL DR,Grandview-Woodland,494926.5782,5457283.3883
Break and Enter Commercial,2023,2,1,6,24,18XX COMMERCIAL DR,Grandview-Woodland,494935.7545,5457291.0953
Break and Enter Commercial,2023,2,26,0,7,18XX COMMERCIAL DR,Grandview-Woodland,494935.7545,5457291.0953
Break and Enter Commercial,2023,4,17,16,27,18XX COMOX ST,West End,489780.0567,5459611.1248
Break and Enter Commercial,2023,3,18,21,31,18XX COMOX ST,West End,489814.9351,5459589.2219
Break and Enter Commercial,2023,3,24,19,15,18XX COMOX ST,West End,489814.9351,5459589.2219
Break and Enter Commercial,2023,1,9,2,25,18XX CROWE ST,Mount Pleasant,491875.1021,5457294.4062
Break and Enter Commercial,2023,3,12,4,0,18XX E 5TH AVE,Grandview-Woodland,495009.5223,5456998.6539
Break and Enter Commercial,2023,5,13,4,56,18XX HARO ST,West End,490048.0545,5459820.5818
Break and Enter Commercial,2023,1,6,6,48,18XX LARCH ST,Kitsilano,488195.7083,5457482.1895
Break and Enter Commercial,2023,3,30,21,0,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.3718
Break and Enter Commercial,2023,1,31,4,24,18XX ROBSON ST,West End,490124.9568,5459897.7701
Break and Enter Commercial,2023,2,7,1,3,18XX ROBSON ST,West End,490124.9568,5459897.7701
Break and Enter Commercial,2023,4,19,17,0,18XX W 2ND AVE,Kitsilano,489265.1068,5457466.1022
Break and Enter Commercial,2023,3,19,9,30,18XX W 4TH AVE,Kitsilano,489336.8031,5457256.9291
Break and Enter Commercial,2023,5,30,0,5,18XX W 7TH AVE,Kitsilano,489258.9648,5456985.3045
Break and Enter Commercial,2023,4,9,3,53,18XX YEW ST,Kitsilano,488712.4688,5457404.5016
Break and Enter Commercial,2023,4,10,1,58,18XX YEW ST,Kitsilano,488712.4688,5457404.5016
Break and Enter Commercial,2023,5,31,5,15,19XX CORNWALL AVE,Kitsilano,489154.0438,5457763.8558
Break and Enter Commercial,2023,4,20,19,56,19XX E 34TH AVE,Kensington-Cedar Cottage,495154.9733,5454049.1573
Break and Enter Commercial,2023,1,8,18,47,19XX E 8TH AVE,Grandview-Woodland,495226.5229,5456716.9622
Break and Enter Commercial,2023,4,4,21,19,19XX E 8TH AVE,Grandview-Woodland,495226.5229,5456716.9622
Break and Enter Commercial,2023,4,30,20,0,19XX E HASTINGS ST,Grandview-Woodland,495235.1454,5458724.0936
Break and Enter Commercial,2023,2,21,4,30,19XX FERNDALE ST,Grandview-Woodland,495246.8596,5458543.7427
Break and Enter Commercial,2023,6,6,0,0,19XX GLEN DR,Strathcona,494074.734,5457338.0132
Break and Enter Commercial,2023,2,17,3,51,19XX KINGSWAY AVE,Kensington-Cedar Cottage,495208.8404,5454750.0014
Break and Enter Commercial,2023,6,4,7,15,19XX ONTARIO ST,Mount Pleasant,492388.4668,5457275.7837
Break and Enter Commercial,2023,1,15,5,6,19XX PANDORA ST,Grandview-Woodland,495336.8399,5458927.6163
Break and Enter Commercial,2023,1,30,2,0,19XX PANDORA ST,Grandview-Woodland,495336.8399,5458927.6163
Break and Enter Commercial,2023,1,22,0,0,19XX W 2ND AVE,Kitsilano,489136.0461,5457469.5539
Break and Enter Commercial,2023,6,1,18,0,19XX W 4TH AVE,Kitsilano,489077.912,5457263.7097
Break and Enter Commercial,2023,1,6,7,9,19XX W 4TH AVE,Kitsilano,489101.4676,5457263.1123
Break and Enter Commercial,2023,2,20,7,25,19XX W 4TH AVE,Kitsilano,489222.633,5457260.0563
Break and Enter Commercial,2023,5,24,3,16,19XX W BROADWAY AVE,Kitsilano,489162.8585,5456783.0366
Break and Enter Commercial,2023,4,3,6,34,19XX W BROADWAY AVE,Kitsilano,489206.8267,5456790.978
Break and Enter Commercial,2023,3,8,11,31,1X E CORDOVA ST,Central Business District,492434.5427,5458850.3408
Break and Enter Commercial,2023,3,1,9,15,1X W 5TH AVE,Mount Pleasant,492353.0613,5457083.0969
Break and Enter Commercial,2023,3,29,11,20,1X W 5TH AVE,Mount Pleasant,492353.0613,5457083.0969
Break and Enter Commercial,2023,1,24,3,42,1XX E 2ND AVE,Mount Pleasant,492545.9878,5457398.5831
Break and Enter Commercial,2023,6,7,10,17,1XX E 2ND AVE,Mount Pleasant,492545.9878,5457398.5831
Break and Enter Commercial,2023,1,10,10,33,1XX E 2ND AVE,Mount Pleasant,492641.5675,5457373.8013
Break and Enter Commercial,2023,1,12,3,30,1XX E 6TH AVE,Mount Pleasant,492641.961,5456971.2791
Break and Enter Commercial,2023,2,22,20,56,1XX E 7TH AVE,Mount Pleasant,492532.4666,5456874.6059
