id,patrol_id,lat,long,datetime,title,description,likelihood_of_crime,type_of_crime_most_feared,type_of_crime_other
382,Patrol object (136),49.284960100,-123.125273300,2021-07-28 18:50:40.606444+00:00,Nothing,Nothing,2,3,
381,Patrol object (136),49.284971200,-123.125431700,2021-07-28 18:41:36.674236+00:00,Nothing,Nothing,2,3,
380,Patrol object (136),49.285294200,-123.127900900,2021-07-28 18:32:34.436971+00:00,Nothing,Nothing,2,3,
379,Patrol object (136),49.282265600,-123.128527000,2021-07-28 18:22:46.555920+00:00,Nothing,Nothing,2,2,
378,Patrol object (136),49.279412900,-123.128911000,2021-07-28 18:13:36.793236+00:00,Drug use on the street,Drug use on the street - St Pauls,4,2,
377,Patrol object (136),49.280341900,-123.130935400,2021-07-28 18:09:58.181633+00:00,Person suffering from homelessness on the corner,A,2,2,
376,Patrol object (135),49.283680200,-123.135200800,2021-07-27 22:41:30.937746+00:00,Underground parking for residential area,Insecure premise,3,5,Break and enters
375,Patrol object (135),49.284968900,-123.136064700,2021-07-27 22:37:21.016167+00:00,Old apartment buildings,Low and insecure premises,5,5,"Break and enters, theff"
374,Patrol object (135),49.285361700,-123.136768200,2021-07-27 22:35:08.838519+00:00,Quiet street,Quiet and dark area,4,5,Theft from auto
373,Patrol object (135),49.287923000,-123.140573700,2021-07-27 22:27:27.478129+00:00,Paid parking and insecure stores,Store with lax security and outdoor paid parking,4,1,
372,Patrol object (135),49.289367500,-123.138415000,2021-07-27 22:22:35.891623+00:00,Intersection and store front,Busy intersection,4,5,Traffic violations
371,Patrol object (135),49.289460600,-123.132481800,2021-07-27 22:03:44.292136+00:00,Robson Public Market,Many stores inside and outside with displays. No PC or security guard presence.,4,1,
370,Patrol object (135),49.287768200,-123.129937800,2021-07-27 21:58:54.039625+00:00,Intersection,"Run red lights, car accidents, illegal manuveurs, and speeding.",4,5,Traffic violations
369,Patrol object (135),49.286429700,-123.127351000,2021-07-27 21:52:58.512895+00:00,Patios and outdoor seating,Many people sitting on the patio and outdoor seating,4,2,
368,Patrol object (135),49.285171400,-123.125299200,2021-07-27 21:47:53.203193+00:00,Many stores and parked cars,Little to no PC or security guard presence around stores or the streets.,4,1,
367,Patrol object (135),49.283365100,-123.122983500,2021-07-27 21:42:16.288767+00:00,Robson Stores and many parked cars,Many displays and parked cars.,4,3,
366,Patrol object (135),49.281545500,-123.125582000,2021-07-27 21:36:39.958407+00:00,Scotiabank Theatre Parking Lot,Many cars parked on the street and inside the Theatre parking lot.,2,1,
365,Patrol object (135),49.280112300,-123.130896800,2021-07-27 21:26:17.015039+00:00,Outdoor patios,Patios in front of restaurants,3,1,
364,Patrol object (135),49.281112600,-123.132810300,2021-07-27 21:21:52.152254+00:00,Grocery store,Several produces displayed outside,5,1,
363,Patrol object (133),49.282958900,-123.134826900,2021-07-26 22:54:39.507964+00:00,Jervis and davie,"Alot of traffic around, most likely would be thefts from auto or maybe break ins.",1,1,
362,Patrol object (133),49.285020100,-123.134284400,2021-07-26 22:49:53.243098+00:00,Broughton and comox,"Sidestreets with vehicles parked by the curb, theft from autos can occur as well as robbery or break ins but the latter two are less likely.",3,1,
361,Patrol object (133),49.286846300,-123.131889100,2021-07-26 22:45:02.062492+00:00,Barclay and broughton,Secluded with parked vehicles on the sides theft from auto is likely at night or vandalism and mischief. Assault and break ins can happen but not very likely.,4,1,
360,Patrol object (133),49.288332200,-123.129154800,2021-07-26 22:40:37.298864+00:00,733 Alberni,"Off the main road, cars parked around. Theft from auto can occur.",3,1,
359,Patrol object (133),49.289552800,-123.126825600,2021-07-26 22:36:50.267291+00:00,1362 West pender,Many shops and stores around as well as parked vehicles so break ins and thefts from autos can occur.,3,1,
358,Patrol object (133),49.288282100,-123.122591100,2021-07-26 22:32:55.082111+00:00,1166 West pender,"Pedestrians and traffic around, crime unlikely but thefts from vehicles or break ins could occur however the buildings do have security personnel so it reduces the likelihood.",1,1,
357,Patrol object (133),49.287201200,-123.119560600,2021-07-26 22:27:32.807696+00:00,1050 West pender,"There are cars are pedestrians around but the small plaza does have secluded spaces where assault, theft or robberies can happen at night. There are a few stores so break ins are also possible.",2,3,
356,Patrol object (133),49.285872200,-123.116969800,2021-07-26 22:22:54.286825+00:00,Pender and hornby,"Intersection, crime is unlikely with traffic and pedestrians around. Could be traffic violations at the lights and potentially break-ins at night into the Scotiabank.",1,3,
355,Patrol object (133),49.288062800,-123.118608700,2021-07-26 22:04:39.163750+00:00,Seawall sea plane landing.,"Nice views and area, many pedestrians, crime very unlikely to occur. At worst, theft or maybe assault but too many eyes around in the day. At night theft and vandalism or the sea planes and assault can happen",3,4,
354,Patrol object (133),49.291073800,-123.122714800,2021-07-26 21:58:44.788020+00:00,Coal harbour sea wall walk,"Nice place, crime is very unlikely in daytime but at night it can be secluded. Worst case would be theft of belongings. At night, there could be assault and robbery.",4,4,
353,Patrol object (133),49.291293400,-123.127807100,2021-07-26 21:53:57.324924+00:00,Cafe villaggio,"By caderos's and cafe villaggio. Nice area, alot of people around, crime very unlikely in daytime. Theft and mischief could occur. At night these crimes are more likely, including assault on the street or break in of the stores.",3,1,
352,Patrol object (133),49.291918100,-123.130887400,2021-07-26 21:48:41.170927+00:00,1650 Bayshore drive,A nice area but more secluded with less vehicle or pedestrian traffic. Theft from vehicles or mischief like graffiti and vandalism can occur.,4,1,
351,Patrol object (133),49.291420900,-123.135507300,2021-07-26 21:42:31.507420+00:00,Robson and Denman,Many pedestrians and vehicles. Traffic laws such as speeding and running the red light can happen or worst case scenario a pedestrian being hit at night,2,5,
350,Patrol object (133),49.290261700,-123.136782800,2021-07-26 21:34:52.588726+00:00,Graffiti at West end community centre,"Many pedestrians walking around, unlikely for crime to happen. Most likely would be theft from vehicles or graffiti.",2,1,
349,Patrol object (133),49.287590500,-123.141340000,2021-07-26 21:27:32.582042+00:00,Corner of Denman and davie,Alot of traffic and pedestrians unlikely for crime to occur. Vandalism or theft from vehicle may occur.,1,1,
348,Patrol object (131),49.281222400,-123.129811100,2021-07-26 19:21:11.059555+00:00,Pendr,Nothing,2,1,
347,Patrol object (131),49.284091900,-123.123956300,2021-07-26 18:45:47.212240+00:00,Nothing,Nothing,3,3,
346,Patrol object (131),49.286416500,-123.125151600,2021-07-26 18:36:55.571575+00:00,Nothing,Nothing,3,3,
345,Patrol object (131),49.286179700,-123.129846700,2021-07-26 18:27:58.619147+00:00,Nothing,Nothing,2,3,
344,Patrol object (131),49.283544200,-123.128397600,2021-07-26 18:18:55.104047+00:00,Illegal dumping,Illegal dumping and graffity,3,3,
343,Patrol object (131),49.283277400,-123.131265000,2021-07-26 18:07:31.684584+00:00,Nothing,Nothing,2,3,
342,Patrol object (130),49.269657400,-123.079205300,2021-07-24 21:50:32.427614+00:00,Bridge,"Vehicle camping, grafiti",4,2,
341,Patrol object (130),49.268843600,-123.076708000,2021-07-24 21:45:33.336776+00:00,Near Clark drive,"Grafiti,barb wire,litter",5,2,
340,Patrol object (130),49.267765200,-123.074298600,2021-07-24 21:40:37.908612+00:00,Senors residences,"Litter, medical masks",2,2,
339,Patrol object (129),49.279871405,-123.134604692,2021-07-24 19:13:36.654699+00:00,Person slouched over in alleyway with needles,"We checked to make sure he was breathing, and he was. Appeared to sleeping in a sitting sitting position. Will circle back in a bit on the way back.",2,5,drug use
338,Patrol object (129),49.283136400,-123.136457100,2021-07-24 18:22:55.559365+00:00,Nothing to report,Quiet lane,2,1,
337,Patrol object (129),49.283490471,-123.130814731,2021-07-24 18:17:11.466495+00:00,Nothing to report,N/a,1,5,Nothing
336,Patrol object (128),49.267288000,-123.069740000,2021-07-24 02:35:16.102977+00:00,1961 Commercial Drive,"Next to Mural, Near Bars, Graffiti, Busy street",5,2,
335,Patrol object (128),49.270390300,-123.075423400,2021-07-24 02:15:30.726954+00:00,1600 Block McLean Drive,"Graffiti, Easily accessible Balcony, construction, connecting to busy road,",2,2,
334,Patrol object (128),49.269780900,-123.077329500,2021-07-24 02:10:15.348693+00:00,Clarke Dr & 1st Avenue,"Graffiti, High congestion, Litter",5,5,All of the Above
333,Patrol object (128),49.269053900,-123.075352200,2021-07-24 02:03:37.654679+00:00,McLain & 1st Avenue,"Garbage Laying Around, A lot of Graffiti, Overgrown Lots,",4,3,
332,Patrol object (128),49.268175600,-123.073583500,2021-07-24 01:58:22.951176+00:00,E 3rd & Woodland Dr,"Graffiti, Close to Senior Residence, Open Gates, Garbage Laying Around",4,3,
331,Patrol object (128),49.266945700,-123.072429200,2021-07-24 01:17:03.684697+00:00,1551 E 4th Avenue,"Housing Projects, Overgrown Lots, Open Gates, Open Windows, Lumber Waste",3,3,
330,Patrol object (126),49.267069400,-123.069467400,2021-07-23 20:49:06.438322+00:00,Front of 2012 Commercial Dr.,"Leaved some empty bags in commercial Dr., Graphite on hydrant tap of 2012 commercial Dr. unit",4,2,
329,Patrol object (126),49.264270600,-123.069596700,2021-07-23 20:42:20.104151+00:00,"E7, Commercial Dr.","Home less camping, garbage on the ground,",4,2,
328,Patrol object (126),49.262628800,-123.066749100,2021-07-23 20:35:23.528954+00:00,Grandview and Broadway,"Garbage on sidewalk. Graffiti on electricity stirs
and garbage bin.",3,2,
327,Patrol object (126),49.264078200,-123.065965500,2021-07-23 20:28:17.931629+00:00,"Victoria, E7th. Ave","Gravel on the Victoria street, graffiti on signs.",5,3,
326,Patrol object (126),49.264272300,-123.063100500,2021-07-23 20:22:13.210357+00:00,E7th Ave.  2037,"Garbage on the sidewalk. 
Old van with broken windshield.  Plate no. 838 HTT",4,2,
325,Patrol object (126),49.264149800,-123.060750600,2021-07-23 20:11:04.201313+00:00,"E7, front of 2155 townhouse","Garbage in walkway,",4,5,Block watch needed
324,Patrol object (126),49.264201100,-123.057261900,2021-07-23 20:04:51.536861+00:00,"E7, Nanaimo,","Car disposed headlight , isfault damage,",3,2,
323,Patrol object (126),49.265820300,-123.056838900,2021-07-23 19:56:18.258796+00:00,"E5, Nanaimo","Graffiti on Hydrant tap, garbage on the street, Graffiti on bus stop shelter",2,2,
322,Patrol object (126),49.265567700,-123.067534900,2021-07-23 19:33:41.938537+00:00,Park,"McSpadden Park
Camping gear, man asleep with open alcohol
Garbage
Graffiti",4,1,
321,Patrol object (125),49.267023500,-123.072272200,2021-07-23 18:54:09.567352+00:00,"Grafiti, construction",On the floor,1,2,
320,Patrol object (125),49.269624900,-123.072971800,2021-07-23 18:49:55.926527+00:00,Grafiti,On posts,1,2,
319,Patrol object (125),49.271615100,-123.073326500,2021-07-23 18:45:51.307404+00:00,Grafiti,On the floor and posts,1,2,
318,Patrol object (125),49.274289000,-123.073254500,2021-07-23 18:41:49.220491+00:00,Dog,"Dog off leash, Graffiti on fire extinguisher",1,2,
317,Patrol object (125),49.275805800,-123.071766800,2021-07-23 18:37:37.822698+00:00,Graffiti,Graffiti on the wall,1,2,
316,Patrol object (125),49.275410600,-123.069523600,2021-07-23 18:33:32.068812+00:00,"Traffic, graffiti","Heavy traffic, graffiti on the floor",3,1,
315,Patrol object (125),49.273842800,-123.071018200,2021-07-23 18:29:16.025942+00:00,Graffiti,Graffiti on the posts,1,2,
314,Patrol object (125),49.269695000,-123.069760100,2021-07-23 18:09:08.093704+00:00,Grafiti,Grafiti on floor and walls and traffic,1,1,
313,Patrol object (124),49.267559100,-123.069812800,2021-07-23 04:02:29.632868+00:00,Sidewalk,"Graffiti
Garbage
Dog waste
Old Christmas lm light s hanging from tree",4,2,
312,Patrol object (124),49.269656800,-123.069958700,2021-07-23 03:40:04.579090+00:00,Naked walk,"People walking with open alcohol
Litter
Naked transgender person crossing the intersection",4,4,
311,Patrol object (124),49.271083800,-123.069589500,2021-07-23 03:32:51.996361+00:00,Cocktails,"People drinking in public on the sidewalk
Graffiti
Loud music
Litter",4,1,
310,Patrol object (124),49.271083800,-123.069589500,2021-07-23 03:32:51.883979+00:00,Cocktails,"People drinking in public on the sidewalk
Graffiti
Loud music
Litter",4,1,
309,Patrol object (124),49.271083800,-123.069589500,2021-07-23 03:32:51.881786+00:00,Cocktails,"People drinking in public on the sidewalk
Graffiti
Loud music
Litter",4,1,
308,Patrol object (124),49.271083800,-123.069589500,2021-07-23 03:32:51.862123+00:00,Cocktails,"People drinking in public on the sidewalk
Graffiti
Loud music
Litter",4,1,
307,Patrol object (124),49.271083800,-123.069589500,2021-07-23 03:32:51.859461+00:00,Cocktails,"People drinking in public on the sidewalk
Graffiti
Loud music
Litter",4,1,
306,Patrol object (124),49.272888600,-123.069691600,2021-07-23 03:27:12.152949+00:00,Grandview Park,"Bbq on table, lady passed out with beer in hand.
. Large group drinking in park",4,2,
305,Patrol object (124),49.271589300,-123.071434300,2021-07-23 03:15:32.527530+00:00,Litter,discarded car parts,4,5,Abandoned bumper from car and graffiti
304,Patrol object (124),49.269114500,-123.069767200,2021-07-23 03:06:12.329954+00:00,Crowded sidewalk,Cofee shop large group of people blocking sidewalk not allowing disabled people through. Broken planters along sidewalk broken,2,2,
303,Patrol object (122),49.282049800,-123.133736500,2021-07-22 23:44:57.250265+00:00,1238 Davie,Burglars may break into businesses and cars. Homeless people may sleep in front of businesses.,2,5,Mental health
302,Patrol object (122),49.282876400,-123.131868800,2021-07-22 23:41:23.018171+00:00,Jepson young lane 1200,Potential for car break ins and property break ins.,4,1,
301,Patrol object (122),49.284325900,-123.129795200,2021-07-22 23:21:21.555260+00:00,Ted northe lane 1200,Someone may break into houses or cars,4,1,
300,Patrol object (122),49.285628300,-123.131758500,2021-07-22 23:18:05.963959+00:00,Ted North lane 1300 block,Chance of car car break in.,4,1,
299,Patrol object (122),49.286879600,-123.133773200,2021-07-22 23:14:31.171288+00:00,Ted North ln 1400,There is a chance that someone will break into cars,4,1,
298,Patrol object (122),49.288294700,-123.132766000,2021-07-22 23:10:46.930550+00:00,1540 Haro,Someone may break into a car or a ground suite,4,1,
297,Patrol object (122),49.289600000,-123.134754900,2021-07-22 23:07:29.267948+00:00,800 Bidwell,Someone could break into a ground floor apartment. Someone could break into the parked cars,4,1,
296,Patrol object (122),49.290869800,-123.136387800,2021-07-22 23:04:06.705162+00:00,Haro and Denman (800 block),Someone could break into True Confections (a dessert restaurant).,3,1,
295,Patrol object (122),49.287044000,-123.131597500,2021-07-22 22:54:25.574893+00:00,Intersection of Broughton and haro,800 block of Broughton and Haro. A few houses have bushes around them. Burglars or criminals can easily hide behind these bushes. It is important to introduce CPTED principles here.,5,1,
294,Patrol object (122),49.285887600,-123.133022900,2021-07-22 22:49:10.524744+00:00,Intersection of Nelson and Broughton,"Residential area, small chance of general mischief in what could be previewed as a low crime area. Cars are parked outside of houses in the area which could lead to general mischief.",3,2,
293,Patrol object (122),49.283735300,-123.135312000,2021-07-22 22:41:38.056086+00:00,See-em-ia,"Construction going on, potential to steal tools. Highest risk is theft",4,1,
292,Patrol object (119),49.267208500,-123.069908400,2021-07-22 01:10:58.958571+00:00,NA,NA,3,3,
291,Patrol object (121),49.279025900,-123.133273200,2021-07-21 19:15:01.472564+00:00,Nothing,Nothing,2,3,
290,Patrol object (121),49.280540300,-123.135471400,2021-07-21 19:08:40.272235+00:00,Nothing,Nothing,1,1,
289,Patrol object (121),49.283286700,-123.141115800,2021-07-21 18:58:47.844323+00:00,Nothing,Nothing,2,3,
288,Patrol object (121),49.280575900,-123.138957400,2021-07-21 18:49:08.196846+00:00,Nothing,Nothing,1,3,
287,Patrol object (121),49.277185700,-123.133701300,2021-07-21 18:29:10.130210+00:00,Nothing,Nothing,2,3,
286,Patrol object (121),49.279568200,-123.132928500,2021-07-21 18:18:18.370464+00:00,Needles,Used needles on the ground,4,3,
285,Patrol object (120),49.273607000,-123.071387200,2021-07-20 20:03:25.848968+00:00,Southwest of Grandview park,Garbage littered around,1,2,
284,Patrol object (120),49.272179000,-123.070312000,2021-07-20 19:59:00.730935+00:00,Commercial and kitchener,"Laneway to back alley, graffiti",3,4,
283,Patrol object (120),49.269805300,-123.073336800,2021-07-20 19:53:10.794647+00:00,Woodland Dr and East first avenue,"Graffiti on night posts, graffiti on signs, knocked down construction sign",3,5,"Auto accident, busy intersection"
282,Patrol object (120),49.271354100,-123.067944200,2021-07-20 19:32:26.190100+00:00,South end of victoria park,"Graffiti on street signs, graffiti on book exchange box, some garbage",1,2,
281,Patrol object (120),49.274743400,-123.069763900,2021-07-20 19:09:16.545922+00:00,Britannia community centre,"Graffiti on street signs, stop sign in bad condition peeling off",2,5,Loitering or trespassing
280,Patrol object (120),49.270507800,-123.070240300,2021-07-20 18:56:51.668615+00:00,Home Hardware parking,"Laneway and busy parking lot
Graffiti on signs,
Litter",2,2,
279,Patrol object (115),49.271539000,-123.065837100,2021-07-16 18:18:14.553607+00:00,"Victoria park, dirty park,","Family playing on park, the park is dirty",2,2,
278,Patrol object (115),49.273237400,-123.065809400,2021-07-16 18:13:49.645023+00:00,Building supplies left outside,Building supplies left outside,1,1,
277,Patrol object (115),49.275438600,-123.066003600,2021-07-16 18:07:30.470969+00:00,"Quiet neighborhood, graffiti","Busy Intersection, graffiti on power box",1,2,
276,Patrol object (115),49.277735500,-123.065879900,2021-07-16 18:03:04.255407+00:00,"Dog droppings,",Lots of dog droppings on the ground,1,2,
275,Patrol object (115),49.279404000,-123.066741000,2021-07-16 17:58:37.160214+00:00,"Masks on ground, underground parking lot","Bad car parking, lots of garbage and masks on the grohnd",2,1,
274,Patrol object (115),49.279448800,-123.069009800,2021-07-16 17:54:50.635881+00:00,"Garbage, broken fire hydrant","Lots of garbage on the ground, broken rusted fire hydrant, quiet neighborhood,",2,2,
273,Patrol object (115),49.276561300,-123.070868300,2021-07-16 17:33:32.331546+00:00,"Graffiti, garbage, parking lot","Lots of Graffiti on the wall, garbage on ground, people drinking beer",2,2,
272,Patrol object (115),49.269593400,-123.069853100,2021-07-16 17:14:20.668758+00:00,Traffic and graffiti,"Busy intersection, graffiti on poles",2,2,
271,Patrol object (116),49.265595200,-123.066006900,2021-07-15 01:45:23.088802+00:00,East of McSpadden Park,"Graffiti, homeless population, shaded dark areas along fence.",4,4,
270,Patrol object (116),49.273568600,-123.067500000,2021-07-15 01:24:51.413511+00:00,1220 Salsbury Drive,"Graffiti, damaged property on home.",2,3,
269,Patrol object (116),49.271967400,-123.068598200,2021-07-15 01:14:08.232402+00:00,1742 kitchener,Graffiti,2,3,
268,Patrol object (116),49.270832900,-123.069462400,2021-07-15 01:02:59.609697+00:00,In front of BC Liquor store,"Graffiti, homeless population gathering and asking for money, poorly maintained buildings.",4,1,
